X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_77	cell_77	ES	FALSE	FALSE	0	0	6	1.202700852	1	1.930898305	0.597871955	15.30898359	4
cell_78	cell_78	ES	FALSE	FALSE	0	0	6	1.202260221	3	0.226025474	3.196886553	19.2884999	5
cell_79	cell_79	ES	FALSE	FALSE	0	0	6	1.09188229	3	0.474889809	4.059013565	18.01184858	5
cell_80	cell_80	ES	FALSE	FALSE	0	0	6	1.197413286	3	0.190907462	3.879769	19.42939162	5
cell_81	cell_81	ES	FALSE	FALSE	0	0	6	1.179788068	3	1.031037871	4.103385007	19.2820961	5
cell_82	cell_82	PGC	FALSE	FALSE	0	0	6	1.208649363	1	0.293633674	2.235622184	15.28663033	4
cell_83	cell_83	ES	FALSE	FALSE	0	0	6	1.06368194	3	0.344522225	3.560310349	18.22542976	6
cell_84	cell_84	ES	FALSE	FALSE	0	0	6	1.173398926	3	0.206941829	2.30749412	19.27867021	5
cell_85	cell_85	ES	FALSE	FALSE	0	0	6	1.003976513	1	0.344422222	0.540659134	19.43568976	6
cell_86	cell_86	PGC	FALSE	FALSE	0	0	6	1.23927318	1	0.463566318	2.752595501	19.13618795	5
